Time Spent;Initial Length;Final Length;Length Difference;Shrinking Percentage - Total;Initial SUT Interactions;Final SUT Interactions;SUT Interactions Difference;Shrinking Percentage - Inputs
1.798027209;22.0;6.0;16.0;72.72727272727273;11.0;3.0;8.0;72.72727272727273
0.624042019;32.0;4.0;28.0;87.5;16.0;2.0;14.0;87.5
1.125149518;18.0;4.0;14.0;77.77777777777779;9.0;2.0;7.0;77.77777777777779
1.061376295;8.0;4.0;4.0;50.0;4.0;2.0;2.0;50.0
1.071446445;14.0;4.0;10.0;71.42857142857143;7.0;2.0;5.0;71.42857142857143
0.570561686;14.0;4.0;10.0;71.42857142857143;7.0;2.0;5.0;71.42857142857143
1.078614187;18.0;4.0;14.0;77.77777777777779;9.0;2.0;7.0;77.77777777777779
1.611268726;14.0;6.0;8.0;57.14285714285714;7.0;3.0;4.0;57.14285714285714
0.016812345;2.0;2.0;0.0;0.0;1.0;1.0;0.0;0.0
1.060844821;20.0;4.0;16.0;80.0;10.0;2.0;8.0;80.0
0.640083284;46.0;2.0;44.0;95.65217391304348;23.0;1.0;22.0;95.65217391304348
0.005623529;2.0;2.0;0.0;0.0;1.0;1.0;0.0;0.0
0.604171146;26.0;4.0;22.0;84.61538461538461;13.0;2.0;11.0;84.61538461538461
1.023927265;6.0;4.0;2.0;33.33333333333333;3.0;2.0;1.0;33.33333333333333
0.055475846;18.0;2.0;16.0;88.88888888888889;9.0;1.0;8.0;88.88888888888889
0.520309029;4.0;4.0;0.0;0.0;2.0;2.0;0.0;0.0
0.20974791;42.0;2.0;40.0;95.23809523809523;21.0;1.0;20.0;95.23809523809523
0.002321736;4.0;2.0;2.0;50.0;2.0;1.0;1.0;50.0
1.058289006;264.0;4.0;260.0;98.48484848484848;132.0;2.0;130.0;98.48484848484848
2.118433521;76.0;4.0;72.0;94.73684210526315;38.0;2.0;36.0;94.73684210526315
1.120565188;14.0;6.0;8.0;57.14285714285714;7.0;3.0;4.0;57.14285714285714
0.521926872;6.0;4.0;2.0;33.33333333333333;3.0;2.0;1.0;33.33333333333333
1.240029779;32.0;6.0;26.0;81.25;16.0;3.0;13.0;81.25
0.630394494;48.0;4.0;44.0;91.66666666666666;24.0;2.0;22.0;91.66666666666666
1.278298057;62.0;4.0;58.0;93.54838709677419;31.0;2.0;29.0;93.54838709677419
1.144253305;16.0;4.0;12.0;75.0;8.0;2.0;6.0;75.0
0.698060236;68.0;4.0;64.0;94.11764705882352;34.0;2.0;32.0;94.11764705882352
0.607508516;20.0;4.0;16.0;80.0;10.0;2.0;8.0;80.0
0.002310292;2.0;2.0;0.0;0.0;1.0;1.0;0.0;0.0
0.015867465;6.0;2.0;4.0;66.66666666666666;3.0;1.0;2.0;66.66666666666666
0.002121207;4.0;2.0;2.0;50.0;2.0;1.0;1.0;50.0
0.007521997;6.0;2.0;4.0;66.66666666666666;3.0;1.0;2.0;66.66666666666666
0.044752513;30.0;4.0;26.0;86.66666666666667;15.0;2.0;13.0;86.66666666666667
0.094312956;118.0;6.0;112.0;94.91525423728814;59.0;3.0;56.0;94.91525423728814
0.032145137;52.0;2.0;50.0;96.15384615384616;26.0;1.0;25.0;96.15384615384616
0.006179725;6.0;2.0;4.0;66.66666666666666;3.0;1.0;2.0;66.66666666666666
0.600004562;44.0;2.0;42.0;95.45454545454545;22.0;1.0;21.0;95.45454545454545
0.048973345;24.0;4.0;20.0;83.33333333333334;12.0;2.0;10.0;83.33333333333334
0.008640182;6.0;2.0;4.0;66.66666666666666;3.0;1.0;2.0;66.66666666666666
0.013566583;6.0;2.0;4.0;66.66666666666666;3.0;1.0;2.0;66.66666666666666
0.002192141;4.0;2.0;2.0;50.0;2.0;1.0;1.0;50.0
0.044606384;32.0;2.0;30.0;93.75;16.0;1.0;15.0;93.75
0.00199516;2.0;2.0;0.0;0.0;1.0;1.0;0.0;0.0
0.032910112;28.0;2.0;26.0;92.85714285714286;14.0;1.0;13.0;92.85714285714286
0.046421178;62.0;4.0;58.0;93.54838709677419;31.0;2.0;29.0;93.54838709677419
0.011338278;8.0;2.0;6.0;75.0;4.0;1.0;3.0;75.0
5.896790886;56.0;8.0;48.0;85.71428571428571;28.0;4.0;24.0;85.71428571428571
6.037977573;204.0;8.0;196.0;96.07843137254902;102.0;4.0;98.0;96.07843137254902
10.345049796;536.0;10.0;526.0;98.13432835820896;268.0;5.0;263.0;98.13432835820896
9.608591078;544.0;8.0;536.0;98.52941176470588;272.0;4.0;268.0;98.52941176470588
8.427559712;364.0;8.0;356.0;97.8021978021978;182.0;4.0;178.0;97.8021978021978
6.859261875;40.0;10.0;30.0;75.0;20.0;5.0;15.0;75.0
10.510416946;318.0;10.0;308.0;96.85534591194968;159.0;5.0;154.0;96.85534591194968
